"city@sourceA","type@sourceA","name@sourceA","addr@sourceA","city@sourceB","type@sourceB","name@sourceB","addr@sourceB","Confidence"
"'new york'","french","'le bernardin'","'155 w. 51st st.'","'new york city'","seafood","'le bernardin'","'155 w. 51st st.'","94"
"'new york'","french","lutece","'249 e. 50th st.'","'new york city'","'french (classic)'","lutece","'249 e. 50th st.'","96"
"'new york city'","'french (classic)'","'la grenouille'","'3 e. 52nd st.'","'new york city'","'french (classic)'","'la caravelle'","'33 w. 55th st.'","91"
"'new york'","seafood","'manhattan ocean club'","'57 w. 58th st.'","'new york city'","seafood","'manhattan ocean club'","'57 w. 58th st.'","97"
"'new york'","american","march","'405 e. 58th st.'","'new york city'","'american (new)'","march","'405 e. 58th st.'","96"
"'new york'","mexican","'mi cocina'","'57 jane st.  off hudson st.'","'new york city'","mexican","'mi cocina'","'57 jane st.'","94"
"'new york'","french","montrachet","'239 w. broadway  between walker and white sts.'","'new york city'","'french bistro'","montrachet","'239 w. broadway'","92"
"'new york'","seafood","oceana","'55 e. 54th st.'","'new york city'","seafood","oceana","'55 e. 54th st.'","97"
"'new york'","american","'park avenue cafe'","'100 e. 63rd st.'","'new york city'","'american (new)'","'park avenue cafe (new york city)'","'100 e. 63rd st.'","93"
"'new york'","french","petrossian","'182 w. 58th st.'","'new york city'","russian","petrossian","'182 w. 58th st.'","95"
"'new york'","mediterranean","picholine","'35 w. 64th st.'","'new york city'","mediterranean","picholine","'35 w. 64th st.'","97"
"'las vegas'","'coffee shops/diners'","'cafe roma'","'3570 las vegas blvd. s'","'las vegas'","'french (new)'","'palace court'","'3570 las vegas blvd. s.'","91"
"'new york'","seafood","pisces","'95 ave. a at 6th st.'","'new york city'","seafood","pisces","'95 ave. a'","94"
"'new york'","'or 212/632-5100 american'","'rainbow room'","'30 rockefeller plaza'","'new york city'","'american (new)'","'rainbow room'","'30 rockefeller plaza'","94"
"brooklyn","american","'river cafe'","'1 water st. at the east river'","brooklyn","'american (new)'","'river cafe'","'1 water st.'","95"
"'new york'","italian","'san domenico'","'240 central park s'","'new york city'","italian","'san domenico'","'240 central park s.'","97"
"'new york'","asian","seryna","'11 e. 53rd st.'","'new york city'","japanese","seryna","'11 e. 53rd st.'","95"
"'new york'","american","'sign of the dove'","'1110 3rd ave. at 65th st.'","'new york city'","'american (new)'","'sign of the dove'","'1110 third ave.'","92"
"'new york'","mediterranean","'uncle nick's'","'747 9th ave.  between 50th and 51st sts.'","'new york city'","greek","'uncle nick's'","'747 ninth ave.'","90"
"'new york'","american","'union square cafe'","'21 e. 16th st.'","'new york city'","'american (new)'","'union square cafe'","'21 e. 16th st.'","96"
"'las vegas'","asian","'chin's'","'3200 las vegas blvd. s'","'las vegas'","chinese","'chin's'","'3200 las vegas blvd. s.'","97"
"'las vegas'","southwestern","'coyote cafe'","'3799 las vegas blvd. s'","'las vegas'","southwestern","'coyote cafe (las vegas)'","'3799 las vegas blvd. s.'","96"
"'las vegas'","continental","'le montrachet'","'3000 w. paradise rd.'","'las vegas'","'french bistro'","'le montrachet bistro'","'3000 paradise rd.'","94"
"'las vegas'","continental","'palace court'","'3570 las vegas blvd. s'","'las vegas'","'french (new)'","'palace court'","'3570 las vegas blvd. s.'","97"
"'las vegas'","seafood","'second street grille'","'200 e. fremont st.'","'las vegas'","'pacific rim'","'second street grill'","'200 e. fremont st.'","97"
"'las vegas'","'steak houses'","'steak house'","'2880 las vegas blvd. s'","'las vegas'","steakhouses","'steak house  the'","'2880 las vegas blvd. s.'","97"
"'las vegas'","seafood","tillerman","'2245 e. flamingo rd.'","'las vegas'","steakhouses","'tillerman  the'","'2245 e. flamingo rd.'","94"
"atlanta","italian","abruzzi","'2355 peachtree rd.  peachtree battle shopping center'","atlanta","italian","abruzzi","'2355 peachtree rd. ne'","96"
"atlanta","international","bacchanalia","'3125 piedmont rd.  near peachtree rd.'","atlanta","californian","bacchanalia","'3125 piedmont rd.'","95"
"atlanta","american","'bone's'","'3130 piedmont road'","atlanta","steakhouses","'bone's restaurant'","'3130 piedmont rd. ne'","90"
"atlanta","french","'brasserie le coze'","'3393 peachtree rd.  lenox square mall  near neiman marcus'","atlanta","'french bistro'","'brasserie le coze'","'3393 peachtree rd.'","95"
"atlanta","american","'buckhead diner'","'3073 piedmont road'","atlanta","'american (new)'","'buckhead diner'","'3073 piedmont rd.'","98"
"atlanta","french","ciboulette","'1529 piedmont ave.'","atlanta","'french (new)'","'ciboulette restaurant'","'1529 piedmont ave.'","93"
"atlanta","american","delectables","'1 margaret mitchell sq.'","atlanta","cafeterias","delectables","'1 margaret mitchell sq.'","95"
"atlanta","american","'georgia grille'","'2290 peachtree rd.  peachtree square shopping center'","atlanta","southwestern","'georgia grille'","'2290 peachtree rd.'","93"
"atlanta","international","'hedgerose heights inn'","'490 e. paces ferry rd.'","atlanta","continental","'hedgerose heights inn  the'","'490 e. paces ferry rd. ne'","97"
"atlanta","asian","'heera of india'","'595 piedmont ave.  rio shopping mall'","atlanta","indian","'heera of india'","'595 piedmont ave.'","95"
"atlanta","caribbean","'indigo coastal grill'","'1397 n. highland ave.'","atlanta","eclectic","'indigo coastal grill'","'1397 n. highland ave.'","97"
"atlanta","italian","'la grotta'","'2637 peachtree rd.  peachtree house condominium'","atlanta","italian","'la grotta'","'2637 peachtree rd. ne'","96"
"atlanta","southern","'mary mac's tea room'","'224 ponce de leon ave.'","atlanta","southern/soul","'mary mac's tea room'","'224 ponce de leon ave.'","99"
"atlanta","continental","'nikolai's roof'","'255 courtland st.  at harris st.'","atlanta","continental","'nikolai's roof'","'255 courtland st.'","97"
"atlanta","international","'pano's and paul's'","'1232 w. paces ferry rd.'","atlanta","'american (new)'","'pano's & paul's'","'1232 w. paces ferry rd.'","96"
"atlanta","'ext 6108 international'","'cafe  ritz-carlton  buckhead'","'3434 peachtree rd.'","atlanta","'american (new)'","'ritz-carlton cafe (buckhead)'","'3434 peachtree rd. ne'","90"
"atlanta","international","'dining room  ritz-carlton  buckhead'","'3434 peachtree rd.'","atlanta","'american (new)'","'ritz-carlton dining room (buckhead)'","'3434 peachtree rd. ne'","93"
"atlanta","french","toulouse","'b peachtree rd.'","atlanta","'french (new)'","toulouse","'293-b peachtree rd.'","97"
"atlanta","italian","'veni vidi vici'","'41 14th st.'","atlanta","italian","'veni vidi vici'","'41 14th st.'","100"
"'san francisco'","french","'alain rondelli'","'126 clement st.'","'san francisco'","'french (new)'","'alain rondelli'","'126 clement st.'","99"
"'san francisco'","seafood","aqua","'252 california st.'","'san francisco'","'american (new)'","aqua","'252 california st.'","96"
"'san francisco'","american","boulevard","'1 mission st.'","'san francisco'","'american (new)'","boulevard","'1 mission st.'","99"
"'san francisco'","french","'cafe claude'","'7 claude la.'","'san francisco'","'french bistro'","'cafe claude'","'7 claude ln.'","98"
"'san francisco'","american","'campton place'","'340 stockton st.'","'san francisco'","'american (new)'","'campton place'","'340 stockton st.'","99"
"'san francisco'","french","'chez michel'","'804 northpoint'","'san francisco'","californian","'chez michel'","'804 north point st.'","93"
"'san francisco'","french","'fleur de lys'","'777 sutter st.'","'san francisco'","'french (new)'","'fleur de lys'","'777 sutter st.'","99"
"'san francisco'","italian","'l'osteria del forno'","'519 columbus ave.'","'san francisco'","italian","'rose pistola'","'532 columbus ave.'","91"
"'san francisco'","french","fringale","'570 4th st.'","'san francisco'","'french bistro'","fringale","'570 fourth st.'","97"
"'san francisco'","american","'hawthorne lane'","'22 hawthorne st.'","'san francisco'","californian","'hawthorne lane'","'22 hawthorne st.'","95"
"'san francisco'","asian","'khan toke thai house'","'5937 geary blvd.'","'san francisco'","thai","'khan toke thai house'","'5937 geary blvd.'","98"
"'san francisco'","french","'la folie'","'2316 polk st.'","'san francisco'","'french (new)'","'la folie'","'2316 polk st.'","99"
"atlanta","'american (new)'","'ritz-carlton cafe (atlanta)'","'181 peachtree st.'","atlanta","'american (new)'","'ritz-carlton cafe (buckhead)'","'3434 peachtree rd. ne'","92"
"'san francisco'","mediterranean","lulu","'816 folsom st.'","'san francisco'","mediterranean","'lulu restaurant-bis-cafe'","'816 folsom st.'","91"
"atlanta","'american (new)'","'ritz-carlton cafe (atlanta)'","'181 peachtree st.'","atlanta","'french (classic)'","'ritz-carlton restaurant'","'181 peachtree st.'","92"
"'san francisco'","french","'masa's'","'648 bush st.'","'san francisco'","'french (new)'","'masa's'","'648 bush st.'","99"
"'san francisco'","mediterranean","'plumpjack cafe'","'3201 fillmore st.'","'san francisco'","'american (new)'","'plumpjack cafe'","'3127 fillmore st.'","93"
"'san francisco'","american","postrio","'545 post st.'","'san francisco'","californian","postrio","'545 post st.'","95"
"'san francisco'","american","'ritz-carlton restaurant and dining room'","'600 stockton st.'","'san francisco'","'french (new)'","'ritz-carlton dining room (san francisco)'","'600 stockton st.'","93"
"'san francisco'","italian","'rose pistola'","'532 columbus ave.'","'san francisco'","italian","'rose pistola'","'532 columbus ave.'","100"
